Wed Aug  6 23:01:12 2025    output.prof

         20307161 function calls (20296670 primitive calls) in 75.552 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.020    0.001    0.020    0.001 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_mesh.py:575(uvs_gltf_to_blender)
      355    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       48    0.000    0.000    0.019    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
        9    0.000    0.000    0.017    0.002 /usr/lib/python3.10/importlib/__init__.py:108(import_module)
        9    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
      658    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.016    0.016 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/startup/bl_ui/__init__.py:107(register)
        1    0.000    0.000    0.016    0.016 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/yaml/__init__.py:1(<module>)
      317    0.006    0.000    0.016    0.000 /usr/lib/python3.10/typing.py:1773(get_type_hints)
        1    0.000    0.000    0.015    0.015 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_typing/__init__.py:1(<module>)
  298/218    0.000    0.000    0.014    0.000 /usr/lib/python3.10/typing.py:306(inner)
        1    0.000    0.000    0.012    0.012 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/addon_utils.py:474(reset_all)
        1    0.000    0.000    0.012    0.012 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/yaml/loader.py:1(<module>)
       15    0.000    0.000    0.012    0.001 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/com/gltf2_io.py:1207(gltf_from_dict)
 2040/435    0.003    0.000    0.012    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/com/gltf2_io.py:32(from_union)
       15    0.000    0.000    0.012    0.001 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/com/gltf2_io.py:1149(from_dict)
        1    0.000    0.000    0.011    0.011 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/addon_utils.py:165(modules_refresh)
       15    0.011    0.001    0.011    0.001 {method 'tobytes' of 'memoryview' objects}
        1    0.000    0.000    0.011    0.011 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/startup/bl_operators/__init__.py:1(<module>)
       15    0.011    0.001    0.011    0.001 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_gltf.py:64(convert_locs_batch)
        1    0.000    0.000    0.011    0.011 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/cycles/__init__.py:126(register)
        1    0.000    0.000    0.011    0.011 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/startup/bl_operators/__init__.py:54(register)
  525/240    0.000    0.000    0.010    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/com/gltf2_io.py:59(from_list)
      103    0.002    0.000    0.010    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/modules/addon_utils.py:76(_fake_module)
       48    0.000    0.000    0.010    0.000 /usr/lib/python3.10/sre_compile.py:622(_code)
  240/180    0.000    0.000    0.010    0.000 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/io/com/gltf2_io.py:61(<listcomp>)
        1    0.000    0.000    0.010    0.010 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/pose_library/__init__.py:1(<module>)
        1    0.000    0.000    0.009    0.009 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/multiarray.py:1(<module>)
       15    0.009    0.001    0.009    0.001 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/lib/npyio.py:1(<module>)
       48    0.000    0.000    0.009    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
       15    0.009    0.001    0.009    0.001 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/_core/overrides.py:1(<module>)
       15    0.009    0.001    0.009    0.001 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_gltf.py:70(convert_normals_batch)
        1    0.000    0.000    0.009    0.009 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:1(<module>)
   156/48    0.000    0.000    0.009    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
      422    0.008    0.000    0.008    0.000 {built-in method builtins.compile}
   212/51    0.003    0.000    0.008    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
        1    0.000    0.000    0.008    0.008 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_gltf.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/pose_library/operators.py:1(<module>)
       55    0.007    0.000    0.008    0.000 generate_data.py:74(zoom_on_object)
        1    0.000    0.000    0.008    0.008 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/bpy/4.0/scripts/addons/io_scene_gltf2/blender/imp/gltf2_blender_scene.py:1(<module>)
        1    0.000    0.000    0.008    0.008 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/lib/format.py:1(<module>)
      331    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.007    0.007 /home/vikhyat/3D-Data-Generation/env/lib/python3.10/site-packages/numpy/lib/_utils_impl.py:1(<module>)
